"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"2",1,18,"disamb","fp",74,"disamb fp",2,0,264,264,"Ambiguous","Mismatch",264
"4",1,15,"disamb","fp",74,"disamb fp",3,0,329,329,"Unambiguous","Match",329
"6",1,1,"disamb","fp",74,"disamb fp",1,0,181,181,"Ambiguous","Match",181
"8",1,6,"disamb","fp",74,"disamb fp",2,0,277,277,"Ambiguous","Mismatch",277
"10",1,3,"disamb","fp",74,"disamb fp",3,0,147,147,"Unambiguous","Match",147
"12",1,14,"disamb","fp",74,"disamb fp",2,0,371,371,"Ambiguous","Mismatch",371
"14",1,4,"disamb","fp",74,"disamb fp",4,0,206,206,"Unambiguous","Mismatch",206
"16",1,17,"disamb","fp",74,"disamb fp",1,1,0,NA,"Ambiguous","Match",NA
"18",1,5,"disamb","fp",74,"disamb fp",1,1,0,NA,"Ambiguous","Match",NA
"20",1,13,"disamb","fp",74,"disamb fp",1,0,310,310,"Ambiguous","Match",310
"22",1,22,"disamb","fp",74,"disamb fp",2,0,519,519,"Ambiguous","Mismatch",519
"24",1,8,"disamb","fp",74,"disamb fp",4,0,283,283,"Unambiguous","Mismatch",283
"26",1,9,"disamb","fp",74,"disamb fp",1,0,218,218,"Ambiguous","Match",218
"28",1,19,"disamb","fp",74,"disamb fp",3,0,203,203,"Unambiguous","Match",203
"30",1,24,"disamb","fp",74,"disamb fp",4,0,199,199,"Unambiguous","Mismatch",199
"32",1,12,"disamb","fp",74,"disamb fp",4,0,369,369,"Unambiguous","Mismatch",369
"34",1,20,"disamb","fp",74,"disamb fp",4,0,223,223,"Unambiguous","Mismatch",223
"36",1,10,"disamb","fp",74,"disamb fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"38",1,11,"disamb","fp",74,"disamb fp",3,0,263,263,"Unambiguous","Match",263
"40",1,16,"disamb","fp",74,"disamb fp",4,0,902,902,"Unambiguous","Mismatch",NA
"42",1,7,"disamb","fp",74,"disamb fp",3,0,444,444,"Unambiguous","Match",444
"44",1,2,"disamb","fp",74,"disamb fp",2,0,315,315,"Ambiguous","Mismatch",315
"46",1,21,"disamb","fp",74,"disamb fp",1,0,196,196,"Ambiguous","Match",196
"48",1,23,"disamb","fp",74,"disamb fp",3,0,441,441,"Unambiguous","Match",441
"722",2,16,"disamb","fp",71,"disamb fp",1,0,234,234,"Ambiguous","Match",234
"724",2,4,"disamb","fp",71,"disamb fp",1,0,1162,1162,"Ambiguous","Match",1162
"726",2,2,"disamb","fp",71,"disamb fp",3,0,877,877,"Unambiguous","Match",877
"728",2,13,"disamb","fp",71,"disamb fp",2,0,240,240,"Ambiguous","Mismatch",240
"730",2,19,"disamb","fp",71,"disamb fp",4,0,1130,1130,"Unambiguous","Mismatch",1130
"732",2,12,"disamb","fp",71,"disamb fp",1,0,232,232,"Ambiguous","Match",232
"734",2,10,"disamb","fp",71,"disamb fp",3,0,747,747,"Unambiguous","Match",747
"736",2,3,"disamb","fp",71,"disamb fp",4,0,471,471,"Unambiguous","Mismatch",471
"738",2,9,"disamb","fp",71,"disamb fp",2,0,198,198,"Ambiguous","Mismatch",198
"740",2,21,"disamb","fp",71,"disamb fp",2,0,229,229,"Ambiguous","Mismatch",229
"742",2,15,"disamb","fp",71,"disamb fp",4,0,501,501,"Unambiguous","Mismatch",501
"744",2,18,"disamb","fp",71,"disamb fp",3,0,264,264,"Unambiguous","Match",264
"746",2,6,"disamb","fp",71,"disamb fp",3,0,166,166,"Unambiguous","Match",166
"748",2,5,"disamb","fp",71,"disamb fp",2,0,154,154,"Ambiguous","Mismatch",154
"750",2,14,"disamb","fp",71,"disamb fp",3,0,361,361,"Unambiguous","Match",361
"752",2,1,"disamb","fp",71,"disamb fp",2,0,153,153,"Ambiguous","Mismatch",153
"754",2,20,"disamb","fp",71,"disamb fp",1,1,0,NA,"Ambiguous","Match",NA
"756",2,11,"disamb","fp",71,"disamb fp",4,0,210,210,"Unambiguous","Mismatch",210
"758",2,7,"disamb","fp",71,"disamb fp",4,0,464,464,"Unambiguous","Mismatch",464
"760",2,23,"disamb","fp",71,"disamb fp",4,0,405,405,"Unambiguous","Mismatch",405
"762",2,8,"disamb","fp",71,"disamb fp",1,0,362,362,"Ambiguous","Match",362
"764",2,17,"disamb","fp",71,"disamb fp",2,0,162,162,"Ambiguous","Mismatch",162
"766",2,24,"disamb","fp",71,"disamb fp",1,0,241,241,"Ambiguous","Match",241
"768",2,22,"disamb","fp",71,"disamb fp",3,0,234,234,"Unambiguous","Match",234
"1442",3,18,"disamb","fp",72,"disamb fp",4,0,288,288,"Unambiguous","Mismatch",288
"1444",3,7,"disamb","fp",72,"disamb fp",1,0,266,266,"Ambiguous","Match",266
"1446",3,16,"disamb","fp",72,"disamb fp",2,0,695,695,"Ambiguous","Mismatch",695
"1448",3,5,"disamb","fp",72,"disamb fp",3,0,414,414,"Unambiguous","Match",414
"1450",3,24,"disamb","fp",72,"disamb fp",2,0,355,355,"Ambiguous","Mismatch",355
"1452",3,4,"disamb","fp",72,"disamb fp",2,0,198,198,"Ambiguous","Mismatch",198
"1454",3,14,"disamb","fp",72,"disamb fp",4,0,167,167,"Unambiguous","Mismatch",167
"1456",3,1,"disamb","fp",72,"disamb fp",3,0,285,285,"Unambiguous","Match",285
"1458",3,9,"disamb","fp",72,"disamb fp",3,0,615,615,"Unambiguous","Match",615
"1460",3,22,"disamb","fp",72,"disamb fp",4,0,220,220,"Unambiguous","Mismatch",220
"1462",3,10,"disamb","fp",72,"disamb fp",4,0,205,205,"Unambiguous","Mismatch",205
"1464",3,6,"disamb","fp",72,"disamb fp",4,0,238,238,"Unambiguous","Mismatch",238
"1466",3,23,"disamb","fp",72,"disamb fp",1,0,279,279,"Ambiguous","Match",279
"1468",3,17,"disamb","fp",72,"disamb fp",3,0,286,286,"Unambiguous","Match",286
"1470",3,19,"disamb","fp",72,"disamb fp",1,0,452,452,"Ambiguous","Match",452
"1472",3,13,"disamb","fp",72,"disamb fp",3,0,558,558,"Unambiguous","Match",558
"1474",3,20,"disamb","fp",72,"disamb fp",2,0,756,756,"Ambiguous","Mismatch",756
