"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"11462",1,18,"spillover1","rp",82,"spillover1 rp",2,0,243,243,"Ambiguous","Mismatch",243
"11464",1,15,"spillover1","rp",82,"spillover1 rp",3,0,219,219,"Unambiguous","Match",219
"11466",1,1,"spillover1","rp",82,"spillover1 rp",1,0,4587,4587,"Ambiguous","Match",4587
"11468",1,6,"spillover1","rp",82,"spillover1 rp",2,0,2798,2798,"Ambiguous","Mismatch",2798
"11470",1,3,"spillover1","rp",82,"spillover1 rp",3,0,731,731,"Unambiguous","Match",731
"11472",1,14,"spillover1","rp",82,"spillover1 rp",2,0,333,333,"Ambiguous","Mismatch",333
"11474",1,4,"spillover1","rp",82,"spillover1 rp",4,0,121,121,"Unambiguous","Mismatch",121
"11476",1,17,"spillover1","rp",82,"spillover1 rp",1,0,588,588,"Ambiguous","Match",588
"11478",1,5,"spillover1","rp",82,"spillover1 rp",1,0,733,733,"Ambiguous","Match",733
"11480",1,13,"spillover1","rp",82,"spillover1 rp",1,0,2806,2806,"Ambiguous","Match",2806
"11482",1,22,"spillover1","rp",82,"spillover1 rp",2,0,304,304,"Ambiguous","Mismatch",304
"11484",1,8,"spillover1","rp",82,"spillover1 rp",4,0,178,178,"Unambiguous","Mismatch",178
"11486",1,9,"spillover1","rp",82,"spillover1 rp",1,0,2628,2628,"Ambiguous","Match",2628
"11488",1,19,"spillover1","rp",82,"spillover1 rp",3,0,220,220,"Unambiguous","Match",220
"11490",1,24,"spillover1","rp",82,"spillover1 rp",4,0,181,181,"Unambiguous","Mismatch",181
"11492",1,12,"spillover1","rp",82,"spillover1 rp",4,0,210,210,"Unambiguous","Mismatch",210
"11494",1,20,"spillover1","rp",82,"spillover1 rp",4,0,184,184,"Unambiguous","Mismatch",184
"11496",1,10,"spillover1","rp",82,"spillover1 rp",2,0,2289,2289,"Ambiguous","Mismatch",2289
"11498",1,11,"spillover1","rp",82,"spillover1 rp",3,0,231,231,"Unambiguous","Match",231
"11500",1,16,"spillover1","rp",82,"spillover1 rp",4,0,174,174,"Unambiguous","Mismatch",174
"11502",1,7,"spillover1","rp",82,"spillover1 rp",3,0,392,392,"Unambiguous","Match",392
"11504",1,2,"spillover1","rp",82,"spillover1 rp",2,0,219,219,"Ambiguous","Mismatch",219
"11506",1,21,"spillover1","rp",82,"spillover1 rp",1,0,168,168,"Ambiguous","Match",168
"11508",1,23,"spillover1","rp",82,"spillover1 rp",3,0,311,311,"Unambiguous","Match",311
"11510",2,16,"spillover1","rp",82,"spillover1 rp",1,0,338,338,"Ambiguous","Match",338
"11512",2,4,"spillover1","rp",82,"spillover1 rp",1,0,481,481,"Ambiguous","Match",481
"11514",2,2,"spillover1","rp",82,"spillover1 rp",3,0,985,985,"Unambiguous","Match",985
"11516",2,13,"spillover1","rp",82,"spillover1 rp",2,0,485,485,"Ambiguous","Mismatch",485
"11518",2,19,"spillover1","rp",82,"spillover1 rp",4,0,369,369,"Unambiguous","Mismatch",369
"11520",2,12,"spillover1","rp",82,"spillover1 rp",1,0,1484,1484,"Ambiguous","Match",1484
"11522",2,10,"spillover1","rp",82,"spillover1 rp",3,0,268,268,"Unambiguous","Match",268
"11524",2,3,"spillover1","rp",82,"spillover1 rp",4,0,552,552,"Unambiguous","Mismatch",552
"11526",2,9,"spillover1","rp",82,"spillover1 rp",2,0,229,229,"Ambiguous","Mismatch",229
"11528",2,21,"spillover1","rp",82,"spillover1 rp",2,0,178,178,"Ambiguous","Mismatch",178
"11530",2,15,"spillover1","rp",82,"spillover1 rp",4,0,313,313,"Unambiguous","Mismatch",313
"11532",2,18,"spillover1","rp",82,"spillover1 rp",3,0,701,701,"Unambiguous","Match",701
"11534",2,6,"spillover1","rp",82,"spillover1 rp",3,0,555,555,"Unambiguous","Match",555
"11536",2,5,"spillover1","rp",82,"spillover1 rp",2,0,197,197,"Ambiguous","Mismatch",197
"11538",2,14,"spillover1","rp",82,"spillover1 rp",3,0,510,510,"Unambiguous","Match",510
"11540",2,1,"spillover1","rp",82,"spillover1 rp",2,0,539,539,"Ambiguous","Mismatch",539
"11542",2,20,"spillover1","rp",82,"spillover1 rp",1,0,1463,1463,"Ambiguous","Match",1463
"11544",2,11,"spillover1","rp",82,"spillover1 rp",4,0,467,467,"Unambiguous","Mismatch",467
"11546",2,7,"spillover1","rp",82,"spillover1 rp",4,0,494,494,"Unambiguous","Mismatch",494
"11548",2,23,"spillover1","rp",82,"spillover1 rp",4,0,537,537,"Unambiguous","Mismatch",537
"11550",2,8,"spillover1","rp",82,"spillover1 rp",1,0,159,159,"Ambiguous","Match",159
"11552",2,17,"spillover1","rp",82,"spillover1 rp",2,0,528,528,"Ambiguous","Mismatch",528
"11554",2,24,"spillover1","rp",82,"spillover1 rp",1,0,404,404,"Ambiguous","Match",404
"11556",2,22,"spillover1","rp",82,"spillover1 rp",3,0,334,334,"Unambiguous","Match",334
"11558",3,18,"spillover1","rp",82,"spillover1 rp",4,0,243,243,"Unambiguous","Mismatch",243
"11560",3,7,"spillover1","rp",82,"spillover1 rp",1,0,5383,5383,"Ambiguous","Match",NA
"11562",3,16,"spillover1","rp",82,"spillover1 rp",2,0,2481,2481,"Ambiguous","Mismatch",2481
