"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"5731",1,28,"continuation","fp",70,"continuation fp",8,0,265,265,"Unambiguous","Inconsistent",265
"5733",1,46,"continuation","fp",70,"continuation fp",6,0,185,185,"Unambiguous","Consistent",185
"5735",1,40,"continuation","fp",70,"continuation fp",8,0,260,260,"Unambiguous","Inconsistent",260
"5737",1,25,"continuation","fp",70,"continuation fp",5,0,199,199,"Ambiguous","Consistent",199
"5739",1,42,"continuation","fp",70,"continuation fp",6,0,184,184,"Unambiguous","Consistent",184
"5741",1,37,"continuation","fp",70,"continuation fp",5,0,224,224,"Ambiguous","Consistent",224
"5743",1,26,"continuation","fp",70,"continuation fp",6,0,249,249,"Unambiguous","Consistent",249
"5745",1,30,"continuation","fp",70,"continuation fp",6,1,0,NA,"Unambiguous","Consistent",NA
"5747",1,32,"continuation","fp",70,"continuation fp",8,0,336,336,"Unambiguous","Inconsistent",336
"5749",1,31,"continuation","fp",70,"continuation fp",7,0,186,186,"Ambiguous","Inconsistent",186
"5751",1,47,"continuation","fp",70,"continuation fp",7,0,356,356,"Ambiguous","Inconsistent",356
"5753",1,44,"continuation","fp",70,"continuation fp",8,0,192,192,"Unambiguous","Inconsistent",192
"5755",1,27,"continuation","fp",70,"continuation fp",7,0,205,205,"Ambiguous","Inconsistent",205
"5757",1,33,"continuation","fp",70,"continuation fp",5,0,316,316,"Ambiguous","Consistent",316
"5759",1,45,"continuation","fp",70,"continuation fp",5,0,267,267,"Ambiguous","Consistent",267
"5761",1,34,"continuation","fp",70,"continuation fp",6,0,212,212,"Unambiguous","Consistent",212
"5763",1,35,"continuation","fp",70,"continuation fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"5765",1,29,"continuation","fp",70,"continuation fp",5,0,260,260,"Ambiguous","Consistent",260
"5767",1,41,"continuation","fp",70,"continuation fp",5,0,256,256,"Ambiguous","Consistent",256
"5769",1,38,"continuation","fp",70,"continuation fp",6,0,211,211,"Unambiguous","Consistent",211
"5771",1,43,"continuation","fp",70,"continuation fp",7,0,194,194,"Ambiguous","Inconsistent",194
"5773",1,39,"continuation","fp",70,"continuation fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"5775",1,48,"continuation","fp",70,"continuation fp",8,0,225,225,"Unambiguous","Inconsistent",225
"5777",1,36,"continuation","fp",70,"continuation fp",8,0,286,286,"Unambiguous","Inconsistent",286
"5779",2,32,"continuation","fp",70,"continuation fp",5,0,450,450,"Ambiguous","Consistent",450
"5781",2,48,"continuation","fp",70,"continuation fp",5,0,205,205,"Ambiguous","Consistent",205
"5783",2,40,"continuation","fp",70,"continuation fp",5,0,285,285,"Ambiguous","Consistent",285
"5785",2,28,"continuation","fp",70,"continuation fp",5,1,0,NA,"Ambiguous","Consistent",NA
"5787",2,38,"continuation","fp",70,"continuation fp",7,0,384,384,"Ambiguous","Inconsistent",384
