"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"146",1,18,"spillover2","fp",74,"spillover2 fp",2,0,399,399,"Ambiguous","Mismatch",399
"148",1,15,"spillover2","fp",74,"spillover2 fp",3,0,346,346,"Unambiguous","Match",346
"150",1,1,"spillover2","fp",74,"spillover2 fp",1,0,447,447,"Ambiguous","Match",447
"152",1,6,"spillover2","fp",74,"spillover2 fp",2,0,389,389,"Ambiguous","Mismatch",389
"154",1,3,"spillover2","fp",74,"spillover2 fp",3,0,461,461,"Unambiguous","Match",461
"156",1,14,"spillover2","fp",74,"spillover2 fp",2,0,436,436,"Ambiguous","Mismatch",436
"158",1,4,"spillover2","fp",74,"spillover2 fp",4,0,492,492,"Unambiguous","Mismatch",492
"160",1,17,"spillover2","fp",74,"spillover2 fp",1,0,458,458,"Ambiguous","Match",458
"162",1,5,"spillover2","fp",74,"spillover2 fp",1,0,372,372,"Ambiguous","Match",372
"164",1,13,"spillover2","fp",74,"spillover2 fp",1,0,289,289,"Ambiguous","Match",289
"166",1,22,"spillover2","fp",74,"spillover2 fp",2,0,198,198,"Ambiguous","Mismatch",198
"168",1,8,"spillover2","fp",74,"spillover2 fp",4,0,266,266,"Unambiguous","Mismatch",266
"170",1,9,"spillover2","fp",74,"spillover2 fp",1,0,402,402,"Ambiguous","Match",402
"172",1,19,"spillover2","fp",74,"spillover2 fp",3,0,407,407,"Unambiguous","Match",407
"174",1,24,"spillover2","fp",74,"spillover2 fp",4,0,452,452,"Unambiguous","Mismatch",452
"176",1,12,"spillover2","fp",74,"spillover2 fp",4,0,890,890,"Unambiguous","Mismatch",890
"178",1,20,"spillover2","fp",74,"spillover2 fp",4,0,189,189,"Unambiguous","Mismatch",189
"180",1,10,"spillover2","fp",74,"spillover2 fp",2,0,999,999,"Ambiguous","Mismatch",999
"182",1,11,"spillover2","fp",74,"spillover2 fp",3,0,1047,1047,"Unambiguous","Match",1047
"184",1,16,"spillover2","fp",74,"spillover2 fp",4,0,592,592,"Unambiguous","Mismatch",592
"186",1,7,"spillover2","fp",74,"spillover2 fp",3,0,422,422,"Unambiguous","Match",422
"188",1,2,"spillover2","fp",74,"spillover2 fp",2,0,582,582,"Ambiguous","Mismatch",582
"190",1,21,"spillover2","fp",74,"spillover2 fp",1,0,825,825,"Ambiguous","Match",825
"192",1,23,"spillover2","fp",74,"spillover2 fp",3,0,818,818,"Unambiguous","Match",818
"866",2,16,"spillover2","fp",71,"spillover2 fp",1,0,952,952,"Ambiguous","Match",952
"868",2,4,"spillover2","fp",71,"spillover2 fp",1,0,583,583,"Ambiguous","Match",583
"870",2,2,"spillover2","fp",71,"spillover2 fp",3,0,935,935,"Unambiguous","Match",935
"872",2,13,"spillover2","fp",71,"spillover2 fp",2,0,511,511,"Ambiguous","Mismatch",511
