"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"626",1,18,"spillover2","tt",74,"spillover2 tt",2,0,713,713,"Ambiguous","Mismatch",713
"628",1,15,"spillover2","tt",74,"spillover2 tt",3,0,668,668,"Unambiguous","Match",668
"630",1,1,"spillover2","tt",74,"spillover2 tt",1,0,447,447,"Ambiguous","Match",447
"632",1,6,"spillover2","tt",74,"spillover2 tt",2,0,389,389,"Ambiguous","Mismatch",389
"634",1,3,"spillover2","tt",74,"spillover2 tt",3,0,461,461,"Unambiguous","Match",461
"636",1,14,"spillover2","tt",74,"spillover2 tt",2,0,436,436,"Ambiguous","Mismatch",436
"638",1,4,"spillover2","tt",74,"spillover2 tt",4,0,956,956,"Unambiguous","Mismatch",956
"640",1,17,"spillover2","tt",74,"spillover2 tt",1,0,703,703,"Ambiguous","Match",703
"642",1,5,"spillover2","tt",74,"spillover2 tt",1,0,372,372,"Ambiguous","Match",372
"644",1,13,"spillover2","tt",74,"spillover2 tt",1,0,289,289,"Ambiguous","Match",289
"646",1,22,"spillover2","tt",74,"spillover2 tt",2,0,658,658,"Ambiguous","Mismatch",658
"648",1,8,"spillover2","tt",74,"spillover2 tt",4,0,1218,1218,"Unambiguous","Mismatch",1218
"650",1,9,"spillover2","tt",74,"spillover2 tt",1,0,402,402,"Ambiguous","Match",402
"652",1,19,"spillover2","tt",74,"spillover2 tt",3,0,1144,1144,"Unambiguous","Match",1144
"654",1,24,"spillover2","tt",74,"spillover2 tt",4,0,714,714,"Unambiguous","Mismatch",714
"656",1,12,"spillover2","tt",74,"spillover2 tt",4,0,1846,1846,"Unambiguous","Mismatch",1846
"658",1,20,"spillover2","tt",74,"spillover2 tt",4,0,189,189,"Unambiguous","Mismatch",189
"660",1,10,"spillover2","tt",74,"spillover2 tt",2,0,1962,1962,"Ambiguous","Mismatch",1962
"662",1,11,"spillover2","tt",74,"spillover2 tt",3,0,1391,1391,"Unambiguous","Match",1391
"664",1,16,"spillover2","tt",74,"spillover2 tt",4,0,1042,1042,"Unambiguous","Mismatch",1042
"666",1,7,"spillover2","tt",74,"spillover2 tt",3,0,1634,1634,"Unambiguous","Match",1634
"668",1,2,"spillover2","tt",74,"spillover2 tt",2,0,1042,1042,"Ambiguous","Mismatch",1042
"670",1,21,"spillover2","tt",74,"spillover2 tt",1,0,825,825,"Ambiguous","Match",825
"672",1,23,"spillover2","tt",74,"spillover2 tt",3,0,1499,1499,"Unambiguous","Match",1499
"1346",2,16,"spillover2","tt",71,"spillover2 tt",1,0,952,952,"Ambiguous","Match",952
